State_Name,Crop_Year,Crop,Area,Production,Rain_fall
Arunachal Pradesh,2007,Rice,15622.0,27398.0,0
Arunachal Pradesh,2007,Small millets,2172.0,1759.0,0
Arunachal Pradesh,2007,Wheat,268.0,482.0,0
Arunachal Pradesh,2007,Dry chillies,700.0,990.0,0
Arunachal Pradesh,2007,Dry ginger,483.0,3043.0,0
Arunachal Pradesh,2007,Oilseeds total,3991.0,2996.0,0
Arunachal Pradesh,2007,Potato,31.0,180.0,0
Arunachal Pradesh,2007,Sugarcane,426.0,4899.0,0
Arunachal Pradesh,2007,Turmeric,53.0,276.0,0
Arunachal Pradesh,2008,Maize,1227.0,1346.0,0
Arunachal Pradesh,2008,Rice,16763.0,35010.0,0
Arunachal Pradesh,2008,Small millets,2177.0,2120.0,0
Arunachal Pradesh,2008,Wheat,274.0,548.0,0
Arunachal Pradesh,2008,Dry chillies,634.0,992.0,0
Arunachal Pradesh,2008,Dry ginger,494.0,3531.0,0
Arunachal Pradesh,2008,Oilseeds total,4025.0,3024.0,0
Arunachal Pradesh,2008,Potato,20.0,120.0,0
